46 ('Data Citation ', 'Data Type Registries ')
9 ('Data Type Registries ', 'RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ')
9 ('Data Type Registries ', 'PID Kernel Information ')
9 ('Data Citation ', 'RDA / TD')
9 ('Brokering Framework Working Group\n', 'Data Versioning ')
9 ('Brokering Framework Working Group\n', 'Data Type Registries ')
9 ('Brokering Framework Working Group\n', 'Data Description Registry Interoperability (DDRI) ')
9 ('Agrisemantics ', 'Data Citation ')
8 ('Persistent Identification of Instruments\n', 'Research Data Repository Interoperability ')
8 ('On-Farm Data Sharing (OFDS) ', 'Rice Data Interoperability ')
8 ('Metadata Standards Catalog ', 'RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ')
8 ('International Materials Resource Registries ', 'Persistent Identification of Instruments\n')
8 ('International Materials Resource Registries ', 'Metadata Standards Catalog ')
8 ('Fisheries Data Interoperability ', 'Rice Data Interoperability ')
8 ('Exposing Data Management Plans ', 'Research Data Collections ')
8 ('Empirical Humanities Metadata Working Group\n', 'Research Data Repository Interoperability ')
8 ('Data Usage Metrics ', 'WDS/RDA Assessment of Data Fitness for Use ')
8 ('Data Usage Metrics ', 'Research Data Collections ')
8 ('Data Usage Metrics ', 'Data Versioning ')
8 ('Data Security and Trust ', 'Research Data Repository Interoperability ')
8 ('Data Description Registry Interoperability (DDRI) ', 'WDS/RDA Assessment of Data Fitness for Use ')
8 ('Data Citation ', 'Storage Service Definitions ')
8 ('Data Citation ', 'Rice Data Interoperability ')
8 ('Data Citation ', 'PID Kernel Information ')
8 ('Data Citation ', 'International Materials Resource Registries ')
8 ('DMP Common Standards ', 'WDS/RDA Assessment of Data Fitness for Use ')
8 ('DMP Common Standards ', 'RDA/WDS Scholarly Link Exchange (Scholix) ')
8 ('Agrisemantics ', 'Data Description Registry Interoperability (DDRI) ')
7 ('Research Data Collections ', 'Storage Service Definitions ')
7 ('RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World ', 'Research Data Repository Interoperability ')
7 ('RDA / TD', 'RDA/WDS Publishing Data Workflows ')
7 ('Provenance Patterns ', 'WDS/RDA Assessment of Data Fitness for Use ')
7 ('Provenance Patterns ', 'Storage Service Definitions ')
7 ('Persistent Identification of Instruments\n', 'PID Kernel Information ')
7 ('On-Farm Data Sharing (OFDS) ', 'Provenance Patterns ')
7 ('Metadata Standards Catalog ', 'RDA / TD')
7 ('Fisheries Data Interoperability ', 'RDA/WDS Publishing Data Workflows ')
7 ('Fisheries Data Interoperability ', 'On-Farm Data Sharing (OFDS) ')
7 ('Empirical Humanities Metadata Working Group\n', 'International Materials Resource Registries ')
7 ('Data Versioning ', 'RDA / TD')
7 ('Data Versioning ', 'Persistent Identification of Instruments\n')
7 ('Data Usage Metrics ', 'Provenance Patterns ')
7 ('Data Type Registries ', 'Wheat Data Interoperability ')
7 ('Data Type Registries ', 'Rice Data Interoperability ')
7 ('Data Type Registries ', 'RDA / TD')
7 ('Data Type Registries ', 'Empirical Humanities Metadata Working Group\n')
7 ('Data Type Registries ', 'DMP Common Standards ')
7 ('Data Security and Trust ', 'RDA/WDS Publishing Data Workflows ')
7 ('Data Description Registry Interoperability (DDRI) ', 'Wheat Data Interoperability ')
7 ('Data Description Registry Interoperability (DDRI) ', 'DMP Common Standards ')
7 ('DMP Common Standards ', 'Storage Service Definitions ')
7 ('Capacity Development for Agriculture Data ', 'On-Farm Data Sharing (OFDS) ')
7 ('Brokering Framework Working Group\n', 'WDS/RDA Assessment of Data Fitness for Use ')
7 ('Brokering Framework Working Group\n', 'Research Data Repository Interoperability ')
7 ('Brokering Framework Working Group\n', 'Research Data Collections ')
7 ('Brokering Framework Working Group\n', 'RDA/WDS Publishing Data Workflows ')
7 ('Brokering Framework Working Group\n', 'Provenance Patterns ')
7 ('Array Database Assessment ', 'Research Data Repository Interoperability ')
7 ('Array Database Assessment ', 'Research Data Collections ')
7 ('Array Database Assessment ', 'Data Versioning ')
7 ('Array Database Assessment ', 'Data Type Registries ')
7 ('Array Database Assessment ', 'Data Description Registry Interoperability (DDRI) ')
7 ('Agrisemantics ', 'Research Data Repository Interoperability ')
7 ('Agrisemantics ', 'Data Type Registries ')
